475
ABHAY	23082003	1757	64.35
ABHEE	19062001	1408	40.68
ABHEET	28012001	1718	75.4
ABHIJAAT	27072002	1649	80.02
ABHINAV	14082001	1430	93.73
ABHINAVA	16062001	1819	64.66
ABHISHEK	11042001	1724	70.57
ABHYUDAY	25062003	1555	68.91
ADARSH	25072003	1561	77.36
ADITI	19052003	1444	55.54
ADITYA	13022001	1408	75.79
AJAY	14022003	1456	59.67
AKHILESH	21082001	1615	45.84
AKSHAT	22062002	1816	41.51
ALOK	10012000	1437	82.1
AMAN	14012003	1674	77.58
ANAND	17072000	1622	77.05
ANANT	13072001	1686	42.81
ANIKET	13062002	1801	93.86
ANKIT	14092003	1880	89.59
ANKUR	19082003	1863	93.88
ANMOL	20032003	1738	40.03
ANOOP	20042000	1717	81.94
ANUBHAV	15042000	1849	68.43
ANUJ	13022000	1813	90.79
ANURAG	10022003	1517	88.72
APURV	27032000	1535	54.16
ARPIT	15012003	1816	45.33
ARSH	12042001	1813	97.47
ARUN	13092000	1422	83.06
ARYAMAN	16062002	1784	63.8
ASHAY	12022003	1569	74.03
ASHISH	15022003	1435	87.19
ASHWANI	21062003	1798	59.2
ATHARVA	15062003	1830	42.83
ATUL	18082000	1437	63.29
AYUSH	18082002	1838	62
BANAVATHU	22052001	1581	96.56
BHAVYA	15032000	1456	44.87
BINTU	14032000	1856	48.19
BRIJVASI	28082002	1807	54.67
BURUJULA	11032000	1643	52.35
CHAITANYA	26072003	1490	43.69
CHAPARA	10082001	1859	50.02
CHETHAN	18012002	1523	93.01
CHOKKAPU	20032001	1790	45.41
DAMMALAPATI	15022001	1530	41.12
DEEKSHITH	22092000	1834	52.56
DEEPAK	20062002	1837	51.07
DEEPANSHU	26092001	1900	58.39
DEEPIKA	28092002	1839	40.04
DEVANG	23072003	1730	70.73
DEVDATT	24022002	1724	67.7
DEVESH	17062000	1699	79.88
DHANANJAY	15042003	1570	65.75
DHEERAJ	20052002	1891	55.98
DIVYANSH	25012000	1766	96.34
DIVYANSHU	28072003	1809	82.45
DIYAKSHI	19042003	1588	44.61
DONDAPATI	10092000	1409	44.69
EKANT	21042001	1854	90.47
ESHWAR	10022000	1618	75.94
ESLAVATH	21032001	1746	54.99
FAROOQUI	24022001	1806	66.55
FULESH	15072001	1806	43.92
GAJENDER	22072003	1729	80
GARGI	12032001	1527	91.45
GARVIL	16012001	1766	95.25
GAURAV	10012003	1570	51.48
GAURI	16082002	1886	43.91
GAUTAM	14062001	1883	44.77
GOHIL	15082002	1461	42.44
GOPATHI	10092003	1799	66.29
GUNJAN	20092000	1500	77.34
HARASHIT	10082003	1484	87.62
HARDYAL	27022001	1510	84.46
HARIHARAN	20082000	1438	98.06
HARISH	26072000	1541	95.64
HARKANWAR	24072002	1685	80.06
HARKIRAT	28042003	1436	96
HARSH	13072000	1583	82.74
HARSHIT	23082002	1777	49.75
HEMANT	26082000	1545	47.78
HIMANSHU	16012003	1604	75.53
HRITHIK	27022002	1401	71.55
HRITIK	15092003	1605	98.05
JASHANDEEP	14072002	1792	99.26
JASWINDER	21082000	1625	82.16
JAY	15012000	1621	79.37
JAYESH	27072001	1873	51.66
KAASHIKA	16042001	1736	67.49
KAILASH	24082001	1662	82.51
KAJOL	12032000	1799	46.73
KALADI	26062003	1834	48.66
KAMAL	28052000	1863	47.68
KAMYA	26032000	1690	47.37
KANISHAK	14092002	1841	86.45
KANISHKA	24042002	1540	58.38
KARISHMA	25012002	1670	53.5
KIRAN	12062001	1732	45.07
KOJA	25022000	1436	95.01
KONAKANDLA	18022000	1525	74.03
KONDETI	26042000	1678	60.31
KOTA	22052000	1499	46.31
KSHITIJ	18052001	1758	88.06
KUMAR	10052001	1541	40.19
KURITI	26092000	1831	74.49
KYLASA	10052000	1501	77
LAKSHYA	25052000	1689	87.26
LALMINLUN	18052000	1676	66.03
LAVI	13062000	1724	91.6
LAVISH	16082003	1718	88.3
LOKESH	17022003	1585	88.06
MADHUJ	12032003	1898	93.01
MADHUR	26042002	1852	67.86
MANISH	23012001	1874	72.97
MANISHA	10072003	1698	70.04
MANOJ	11052002	1891	94.54
MAYANK	23052002	1544	78.19
MAYUR	17062001	1673	80.51
MEDHA	11042002	1610	57.56
MENDA	17032000	1840	45.48
MOHAMMAD	20032000	1709	68.41
MOHINDER	22092003	1411	58.37
MOHIT	21052003	1831	63.49
MRIGANK	23012002	1626	46.13
MUDE	15022002	1733	93.05
MUDIT	16022003	1502	85.93
NALLA	14052002	1743	68.22
NAMAN	13042002	1500	92.48
NAMITA	25082002	1580	58.58
NARENDRA	15072000	1591	45.09
NARESH	11092003	1514	88.58
