475
SANKET	28022000	1702	61.6
GAURAV	21082003	1706	56.9
RAVI	23032003	1654	43.8
MOHINDER	22092003	1411	58.37
PRABHANSHU	25022002	1581	51.98
ANURAG	10022003	1517	88.72
MOHIT	25082001	1771	93.72
NAMITA	25082002	1580	58.58
ROHAN	26082003	1666	72.59
HARASHIT	10082003	1484	87.62
MUDIT	22082002	1576	42.09
RAHUL	23052003	1499	82.72
GAURAV	16012000	1483	99.1
VANKAYALAPATI	18012003	1601	55.02
MUDIT	16022003	1502	85.93
ABHINAVA	16062001	1819	64.66
AJAY	14022003	1456	59.67
MANISH	23012001	1874	72.97
PRIYANSH	24062001	1552	94.33
JASHANDEEP	26042001	1695	84.52
SUDIP	24022000	1667	77.94
NITESH	25092001	1752	60.18
SUMIT	19032003	1802	92.73
GAURAV	17052001	1834	47.15
NALLA	14052002	1743	68.22
ASHISH	25022001	1809	63.98
VIKAS	15092000	1563	82.3
HARISH	26072000	1541	95.64
SHUBHAM	26012002	1808	86.1
PRADEEP	20012003	1797	59.79
RANU	15022000	1489	96.32
NEERAJ	19012001	1845	46.82
PRATEEK	20022000	1869	61.74
SHIVA	23042002	1573	90.07
RAKESH	13042001	1795	86.73
HRITIK	15092003	1605	98.05
NARESH	27042003	1574	50.07
RAHUL	23092000	1452	40.12
YASH	13032000	1570	98.05
SIDDHI	20092003	1745	76.5
NARENDRA	15072000	1591	45.09
SHWETANGI	11082001	1775	48.83
PRABHAT	13092003	1558	87.03
CHOKKAPU	20032001	1790	45.41
MADHUR	26042002	1852	67.86
KONDETI	26042000	1678	60.31
NIKHIL	13022003	1789	83.97
DEEPAK	28022003	1484	94.02
HARDYAL	27022001	1510	84.46
ALOK	10012000	1437	82.1
VAIBHAV	28082001	1488	50.44
ASHWANI	21062003	1798	59.2
HARIHARAN	20082000	1438	98.06
ANOOP	20042000	1717	81.94
KYLASA	10052000	1501	77
SATISH	21062001	1696	94.78
ANMOL	25052002	1715	56.98
VIKAS	13092002	1662	53.38
EKANT	21042001	1854	90.47
MENDA	17032000	1840	45.48
YOGESH	13082001	1486	96.73
MUDE	15022002	1733	93.05
SHRADHA	14082003	1677	44.49
NAMAN	19052001	1503	83.3
HIMANSHU	28092000	1748	49.34
RAVI	21022000	1667	87.93
SUNIL	16052002	1896	44.63
DEVESH	17062000	1699	79.88
ATUL	18082000	1437	63.29
ROHAN	26042001	1568	93.23
SHIVAM	22062003	1633	97.77
AKHILESH	21082001	1615	45.84
DEVDATT	24022002	1724	67.7
AJAY	23032001	1710	80.82
MANOJ	11052002	1891	94.54
GOPATHI	10092003	1799	66.29
DEEKSHITH	22092000	1834	52.56
ADITYA	13022001	1408	75.79
ANIKET	14052003	1490	89.94
ABHISHEK	24032001	1444	75.93
PRADEEP	25042002	1734	93.69
ASHISH	15022003	1435	87.19
LAVISH	16082003	1718	88.3
JAY	15012000	1621	79.37
PRABUDDH	18022003	1400	53.42
SARTHAK	28092001	1840	64.21
SURENDRA	18082003	1545	79.11
RATHOD	28072002	1741	82.41
