475
ALOK	10012000	1437	82.1
PARTH	10012001	1687	50.09
PRANAY	10012002	1799	47.6
GAURAV	10012003	1570	51.48
ESHWAR	10022000	1618	75.94
SARTHAK	10022001	1470	75.91
ANURAG	10022003	1517	88.72
KYLASA	10052000	1501	77
KUMAR	10052001	1541	40.19
SAHIL	10072000	1865	49.8
MANISHA	10072003	1698	70.04
CHAPARA	10082001	1859	50.02
HARASHIT	10082003	1484	87.62
DONDAPATI	10092000	1409	44.69
RIJUL	10092001	1400	59.56
GOPATHI	10092003	1799	66.29
RITVIK	11012003	1527	67.91
PRABHAT	11022001	1548	47.95
BURUJULA	11032000	1643	52.35
SHAILESH	11032001	1630	92.39
ABHISHEK	11042001	1724	70.57
MEDHA	11042002	1610	57.56
VIJAY	11052001	1724	99.59
MANOJ	11052002	1891	94.54
RAHUL	11052003	1486	86.17
ANURAG	11062003	1797	84.83
SHWETANGI	11082001	1775	48.83
SANJAY	11082002	1584	73.69
SHIVAM	11082003	1814	71.88
RISHABH	11092000	1665	40.35
ABHISHEK	11092001	1577	81.59
SARTHAK	11092002	1701	58.48
NARESH	11092003	1514	88.58
VANKALA	12012002	1801	71.1
ASHAY	12022003	1569	74.03
KAJOL	12032000	1799	46.73
GARGI	12032001	1527	91.45
MADHUJ	12032003	1898	93.01
ARSH	12042001	1813	97.47
RUSHI	12042002	1521	77.13
SATVIK	12052000	1823	61.48
PREM	12062000	1720	86.91
KIRAN	12062001	1732	45.07
PRIYANSHU	12072001	1657	69.07
SIMRAN	12082001	1637	75
SIDDHARTH	12082002	1479	45.07
SUKHBIR	12092001	1535	98.46
SHREYA	12092002	1515	43.51
SIDDHARTH	13012001	1819	58.73
SAMARTH	13012002	1791	40.54
PANKAJ	13012003	1754	48.48
ANUJ	13022000	1813	90.79
ADITYA	13022001	1408	75.79
RAKESH	13022002	1835	46.65
NIKHIL	13022003	1789	83.97
YASH	13032000	1570	98.05
RAKESH	13042001	1795	86.73
NAMAN	13042002	1500	92.48
UTKARSH	13052000	1655	64.41
RAMESH	13052001	1716	83.72
LAVI	13062000	1724	91.6
ANIKET	13062002	1801	93.86
HARSH	13072000	1583	82.74
ANANT	13072001	1686	42.81
UMESH	13072003	1441	59.12
YOGESH	13082001	1486	96.73
ARUN	13092000	1422	83.06
VIKAS	13092002	1662	53.38
PRABHAT	13092003	1558	87.03
AMAN	14012003	1674	77.58
VIJAY	14022002	1632	91.92
AJAY	14022003	1456	59.67
BINTU	14032000	1856	48.19
VINEET	14052000	1762	74.69
